method,loss_kind,lr,probe_steps,initial_loss,final_loss,loss_ratio,finite
NTK,mse,0.002,8,1251.7910732863381,1237.5404056814973,0.9886157778970028,True
NTK,mse,0.003,8,1251.7910732863381,1232.1935752878421,0.9843444338143054,True
NTK,mse,0.005,8,1251.7910732863381,1210.5770895495618,0.9670759884646111,True
SINOS,sinos,1e-05,8,2613.6211385724505,2612.0450534256597,0.9993969726049692,True
SINOS,sinos,3e-05,8,2613.6211385724505,2608.9795336995808,0.9982240712686442,True
SINOS,sinos,0.0001,8,2613.6211385724505,2599.1508615104226,0.9944635139162016,True
SINOS,sinos,0.0002,8,2613.6211385724505,2587.514905158606,0.9900114698995341,True
SINOS,sinos,0.0003,8,2613.6211385724505,2578.661649912161,0.9866241177252706,True
SINOS,sinos,0.0005,8,2613.6211385724505,2568.7436421410553,0.9828293796032324,True
SINOS,sinos,0.0007,8,2613.6211385724505,2566.8757271632094,0.9821146949267585,True
SINOS,sinos,0.001,8,2613.6211385724505,2568.8493724938116,0.9828698331912432,True
SINOS,sinos,0.002,8,2613.6211385724505,2562.493138227433,0.9804378685225421,True
SINOS,sinos,0.003,8,2613.6211385724505,2560.941509965877,0.9798441985989801,True
SINOS,sinos,0.005,8,2613.6211385724505,2551.8857890749355,0.9763793808573057,True
D-SINOS,dsinos,1e-05,8,172.98308377690077,171.22426977600261,0.9898324508819225,True
D-SINOS,dsinos,3e-05,8,172.98308377690077,167.79221948530838,0.9699920698703283,True
D-SINOS,dsinos,0.0001,8,172.98308377690077,156.6705527504342,0.9056986922056199,True
D-SINOS,dsinos,0.0002,8,172.98308377690077,143.17602553715534,0.8276880167185128,True
D-SINOS,dsinos,0.0003,8,172.98308377690077,132.4754599278714,0.7658289876409375,True
D-SINOS,dsinos,0.0005,8,172.98308377690077,119.08026923794691,0.6883925678624551,True
D-SINOS,dsinos,0.0007,8,172.98308377690077,114.724204774816,0.663210542152074,True
D-SINOS,dsinos,0.001,8,172.98308377690077,116.61101086101962,0.6741180022632435,True
D-SINOS,dsinos,0.002,8,172.98308377690077,111.85939950115022,0.6466493547161941,True
D-SINOS,dsinos,0.003,8,172.98308377690077,106.8928647084817,0.6179382536985133,True
D-SINOS,dsinos,0.005,8,172.98308377690077,103.15297155350467,0.5963182601516274,True
MSE,mse,1e-05,8,1251.6675768717112,1251.6028065015523,0.9999482527379029,True
MSE,mse,3e-05,8,1251.6675768717112,1251.4747908815887,0.999845976684477,True
MSE,mse,0.0001,8,1251.6675768717112,1251.0404762757041,0.9994989879041412,True
MSE,mse,0.0002,8,1251.6675768717112,1250.4443177458847,0.999022696482333,True
MSE,mse,0.0003,8,1251.6675768717112,1249.8573603523141,0.9985537561627015,True
MSE,mse,0.0005,8,1251.6675768717112,1248.6444930852906,0.9975847550561499,True
MSE,mse,0.0007,8,1251.6675768717112,1247.3035376053338,0.9965134198991681,True
MSE,mse,0.001,8,1251.6675768717112,1244.9968646881678,0.9946705400804458,True
MSE,mse,0.002,8,1251.6675768717112,1240.9564565875166,0.9914425199772572,True
MSE,mse,0.003,8,1251.6675768717112,1236.97237652459,0.9882595022682868,True
MSE,mse,0.005,8,1251.6675768717112,1225.820767478951,0.9793501007213441,True
ID,mse,1e-05,8,1251.6675768717112,1251.6028065015523,0.9999482527379029,True
ID,mse,3e-05,8,1251.6675768717112,1251.4747908815887,0.999845976684477,True
ID,mse,0.0001,8,1251.6675768717112,1251.0404762757041,0.9994989879041412,True
ID,mse,0.0002,8,1251.6675768717112,1250.4443177458847,0.999022696482333,True
ID,mse,0.0003,8,1251.6675768717112,1249.8573603523141,0.9985537561627015,True
ID,mse,0.0005,8,1251.6675768717112,1248.6444930852906,0.9975847550561499,True
ID,mse,0.0007,8,1251.6675768717112,1247.3035376053338,0.9965134198991681,True
ID,mse,0.001,8,1251.6675768717112,1244.9968646881678,0.9946705400804458,True
ID,mse,0.002,8,1251.6675768717112,1240.9564565875166,0.9914425199772572,True
ID,mse,0.003,8,1251.6675768717112,1236.97237652459,0.9882595022682868,True
ID,mse,0.005,8,1251.6675768717112,1225.820767478951,0.9793501007213441,True
GradNorm,mse,1e-05,8,1251.6675768717112,1251.6028065015523,0.9999482527379029,True
GradNorm,mse,3e-05,8,1251.6675768717112,1251.4747908815887,0.999845976684477,True
GradNorm,mse,0.0001,8,1251.6675768717112,1251.0404762757041,0.9994989879041412,True
GradNorm,mse,0.0002,8,1251.6675768717112,1250.4443177458847,0.999022696482333,True
GradNorm,mse,0.0003,8,1251.6675768717112,1249.8573603523141,0.9985537561627015,True
GradNorm,mse,0.0005,8,1251.6675768717112,1248.6444930852906,0.9975847550561499,True
GradNorm,mse,0.0007,8,1251.6675768717112,1247.3035376053338,0.9965134198991681,True
GradNorm,mse,0.001,8,1251.6675768717112,1244.9968646881678,0.9946705400804458,True
GradNorm,mse,0.002,8,1251.6675768717112,1240.9564565875166,0.9914425199772572,True
GradNorm,mse,0.003,8,1251.6675768717112,1236.97237652459,0.9882595022682868,True
GradNorm,mse,0.005,8,1251.6675768717112,1225.820767478951,0.9793501007213441,True
NTK,mse,1e-05,8,1251.6675768717112,1251.6028065015523,0.9999482527379029,True
NTK,mse,3e-05,8,1251.6675768717112,1251.4747908815887,0.999845976684477,True
NTK,mse,0.0001,8,1251.6675768717112,1251.0404762757041,0.9994989879041412,True
NTK,mse,0.0002,8,1251.6675768717112,1250.4443177458847,0.999022696482333,True
NTK,mse,0.0003,8,1251.6675768717112,1249.8573603523141,0.9985537561627015,True
NTK,mse,0.0005,8,1251.6675768717112,1248.6444930852906,0.9975847550561499,True
NTK,mse,0.0007,8,1251.6675768717112,1247.3035376053338,0.9965134198991681,True
NTK,mse,0.001,8,1251.6675768717112,1244.9968646881678,0.9946705400804458,True
NTK,mse,0.002,8,1251.6675768717112,1240.9564565875166,0.9914425199772572,True
NTK,mse,0.003,8,1251.6675768717112,1236.97237652459,0.9882595022682868,True
NTK,mse,0.005,8,1251.6675768717112,1225.820767478951,0.9793501007213441,True
