degree,N,MSE C0,MSE C1,MSE ratio,L2 C0,L2 C1,L2 ratio,SINOS C0,SINOS C1,SINOS ratio,D-SINOS C0,D-SINOS C1,D-SINOS ratio,MSE-L2 ratio,MSE-Half ratio,L2-MSE ratio,L2-Half ratio,SINOS-MSE ratio,SINOS-L2 ratio,D-SINOS-MSE ratio,D-SINOS-L2 ratio
40,1681,0.0024104603512487468,12227924.083187608,5072858417.6266966,0.0067394715468801457,404711.3401437779,60050901.22105018,0.65574372210384246,1903.7351474903112,2903.1694598348577,0.65525435197419835,11.757209757602512,17.942970881733984,1849960328.0467803,25637910.662486091,164984132.47377384,221952.87271308003,870091.15238094772,452705.9834069694,435.67429428161267,532.28277826214446
41,1764,0.0023473109185805181,14110341.47202266,6011279272.9458961,0.0064398673903112835,445559.48955755215,69187680.825212643,0.65574403433844553,1903.7364271528254,2903.1700289480032,0.65525466427845358,11.773084992520021,17.96718991002404,2225778069.5391865,29601200.679990526,186653260.0028168,244353.62083143002,893483.37742396875,473590.8069383949,448.1846955511167,557.30500438050228
42,1849,0.0022891682436113527,16228095.978667786,7089079635.7836151,0.0061560674994566248,489419.21463990322,79501924.675631419,0.65569932035554801,2096.5225000709097,3197.3839761402928,0.6552549618117951,11.787975814995944,17.989906985827194,2669479876.2228718,34062019.354785882,211263671.82192409,268406.00951004575,1009684.429207059,545022.43318351184,460.38481305106899,582.80209211632496
43,1936,0.0022344735131996163,18604137.506098215,8325960185.3406334,0.0058884928662712131,536434.69267868309,91098809.977564111,0.65569960409714034,2096.5236553013465,3197.3843543616836,0.65525524559904835,11.802748078268072,18.012443482963267,3191687474.8794446,39069011.894189335,238329639.67042693,294188.53385265352,1035369.3111423719,568965.28131048835,472.82603651189527,608.83344163066636
44,2025,0.0021773572315754931,21263053.396710206,9765532769.8912659,0.0056372509023942825,586753.46034789563,104085035.50883049,0.65566080102596991,2298.6006760273754,3505.7771830046167,0.65525551656625469,11.816638215803154,18.033634081748843,3804054090.5195842,44674433.922033735,267989940.30403939,321782.63943210419,1163297.3606853476,650572.4194867952,484.94079795018581,635.30224725390156
45,2116,0.0021187438639545483,24231144.431890108,11436561466.501984,0.00540215723297923,640526.41336069943,118568635.77579659,0.65566105987681889,2298.6017240054439,3505.7773972992836,0.65525577556891734,11.830429614019232,18.054674304469298,4519318434.4016008,50934129.367251523,300383599.10016662,351270.96548456396,1191408.2717212946,677852.8179211875,497.31647158490915,662.32456670511272
46,2209,0.0020636441587178638,27536502.567067157,13343629254.461926,0.0051827831033470937,697907.80653579184,134658887.43927485,0.65562717079841515,2509.9696838364257,3828.3490917251247,0.65525602337662769,11.843426448607813,18.074502219112688,5351396787.6807098,57907696.651587039,335653642.6989395,382737.71941957233,1331648.9725129618,770535.2702578539,509.35418947308051,689.74730621881974
47,2304,0.0020119658066742145,31209090.375342373,15511739946.978071,0.0049784996031902364,759055.25349912967,152466669.47863668,0.65562740809200504,2509.9706387053807,3828.3491625370752,0.65525626070146759,11.856341006333096,18.094204843827967,6315350633.512434,65658919.148565955,373960428.46480745,416270.18291905581,1362330.8357575575,801445.70890908793,521.67563600315918,717.74937603283649
48,2401,0.0019635672319307782,35280822.225028627,17967717963.156754,0.004788506259047475,824129.72674065107,172105805.47608727,0.65559763756075373,2730.6295307982759,4165.0997110941089,0.65525648819929749,11.868536485240822,18.112810325398847,7427559810.1680975,74255436.749678433,415496523.09728676,451955.18795867939,1515485.8729804466,906140.7551985957,533.65524889802771,746.11806562589118
49,2500,0.0019182730466846582,39785647.166968249,20740346237.846371,0.004611856415211133,893295.55735865445,193695439.95609391,0.65559785592099229,2730.6304043629784,4165.0996562930395,0.65525670646500844,11.880663442288986,18.131311476967582,8705590613.7113972,83769413.946654901,460984639.68433315,489884.56862469605,1548891.8553392706,940986.80991043535,545.94083129449939,775.09513421864096
50,2601,0.0018758103471848673,44759633.555716105,23861491980.193718,0.0044474768050905712,966720.4350917025,217363794.67683712,0.6555715629561556,2960.5802234131702,4516.029051142923,0.65525691604709446,11.892136812871582,18.148815406042772,10168380074.641403,94277756.021639839,511093664.58033204,530149.08908909571,1715575.3689014812,1058669.4466995837,557.89001433699968,804.41032974775874
